,svm_linear(svc),svm_rbf(svc),svm_poly(svc),svm_linear(lasso),svm_linear(ridge)
0.001,0.7351851851851852,0.9950617283950617,0.9543209876543209,0.7438271604938271,0.7438271604938271
0.01,0.7333333333333333,0.9753086419753086,0.924074074074074,0.7438271604938271,0.7438271604938271
0.1,0.7333333333333333,0.9308641975308642,0.8888888888888888,0.7438271604938271,0.7438271604938271
1.0,0.7333333333333333,0.8574074074074074,0.8209876543209876,0.7438271604938271,0.7438271604938271
10.0,0.7333333333333333,0.7703703703703704,0.7746913580246914,0.7450617283950617,0.7438271604938271
100.0,0.7290123456790123,0.7327160493827161,0.6216049382716049,0.7382716049382716,0.745679012345679
