,svm_linear(svc),svm_rbf(svc),svm_poly(svc),svm_linear(lasso),svm_linear(ridge)
0.001,0.7983655274888559,0.9267459138187222,0.8326894502228827,0.7830609212481426,0.7830609212481426
0.01,0.799702823179792,0.9019316493313522,0.8329866270430907,0.7830609212481426,0.7830609212481426
0.1,0.799702823179792,0.8632986627043091,0.8349182763744428,0.7832095096582466,0.7830609212481426
1.0,0.799702823179792,0.8405646359583953,0.8395245170876672,0.7832095096582466,0.7830609212481426
10.0,0.799702823179792,0.8301634472511145,0.837890044576523,0.7826151560178306,0.7830609212481426
100.0,0.799702823179792,0.8169390787518573,0.8433878157503715,0.7799405646359584,0.7818722139673105
