,logistic_linear(lasso),logistic_linear(ridge),logistic_poly(lasso),logistic_poly(ridge)
0.001,0.7769687964338782,0.7769687964338782,0.7996117043405908,0.7997503813618083
0.01,0.7768202080237742,0.7769687964338782,0.7996117043405908,0.7998890583830259
0.1,0.7768202080237742,0.7769687964338782,0.7997503813618083,0.799195673276938
1.0,0.7768202080237742,0.7768202080237742,0.7996117043405908,0.7930938843433643
10.0,0.7771173848439822,0.7766716196136701,0.7785327971155179,0.7821383996671751
100.0,0.7763744427934621,0.7762258543833581,0.779503536264041,0.7792261822216059
