,logistic_linear(lasso),logistic_linear(ridge),logistic_poly(lasso),logistic_poly(ridge)
0.001,0.7108433734939759,0.7108433734939759,0.85591457495493,0.8560532519761476
0.01,0.7108433734939759,0.7108433734939759,0.85591457495493,0.85591457495493
0.1,0.7108433734939759,0.7108433734939759,0.8554985438912772,0.8553598668700596
1.0,0.7106661941885187,0.7107547838412474,0.8538344196366662,0.8552211898488421
10.0,0.7103118355776046,0.7106661941885187,0.8471779226182221,0.852586326445708
100.0,0.7078313253012049,0.710223245924876,0.8401053945361253,0.8489807238940508
